STATION,NAME,DATE,PRCP,SNOW,SNWD,TMAX,TMIN
USC00366886,"PHILADELPHIA FRANKLIN INSTITUTE, PA US",11/9/2016,0,0,0,71,42
USC00366886,"PHILADELPHIA FRANKLIN INSTITUTE, PA US",11/10/2016,0.4,0,0,56,47
USC00366886,"PHILADELPHIA FRANKLIN INSTITUTE, PA US",11/11/2016,0,0,0,58,41
USC00366886,"PHILADELPHIA FRANKLIN INSTITUTE, PA US",11/12/2016,0,0,0,63,43
USC00366886,"PHILADELPHIA FRANKLIN INSTITUTE, PA US",11/13/2016,0,0,0,52,37
USC00366886,"PHILADELPHIA FRANKLIN INSTITUTE, PA US",11/14/2016,0,0,0,62,38
USC00366886,"PHILADELPHIA FRANKLIN INSTITUTE, PA US",11/15/2016,0,0,0,60,40
USC00366886,"PHILADELPHIA FRANKLIN INSTITUTE, PA US",11/16/2016,0,0,0,63,48
USC00366886,"PHILADELPHIA FRANKLIN INSTITUTE, PA US",11/17/2016,0,0,0,62,44
USC00366886,"PHILADELPHIA FRANKLIN INSTITUTE, PA US",11/18/2016,0,0,0,62,49
USC00366886,"PHILADELPHIA FRANKLIN INSTITUTE, PA US",11/19/2016,0,0,0,71,45
USC00366886,"PHILADELPHIA FRANKLIN INSTITUTE, PA US",11/20/2016,0,0,0,73,37
USC00366886,"PHILADELPHIA FRANKLIN INSTITUTE, PA US",11/21/2016,0,0,0,44,37
USC00366886,"PHILADELPHIA FRANKLIN INSTITUTE, PA US",11/22/2016,0,0,0,45,38
USC00366886,"PHILADELPHIA FRANKLIN INSTITUTE, PA US",11/23/2016,0,0,0,47,37
USC00366886,"PHILADELPHIA FRANKLIN INSTITUTE, PA US",11/24/2016,0,0,0,50,33
USC00366886,"PHILADELPHIA FRANKLIN INSTITUTE, PA US",11/25/2016,0,0,0,55,40
USC00366886,"PHILADELPHIA FRANKLIN INSTITUTE, PA US",11/26/2016,0,0,0,54,46
USC00366886,"PHILADELPHIA FRANKLIN INSTITUTE, PA US",11/27/2016,0,0,0,51,42
USC00366886,"PHILADELPHIA FRANKLIN INSTITUTE, PA US",11/28/2016,0,0,0,50,39
USC00366886,"PHILADELPHIA FRANKLIN INSTITUTE, PA US",11/29/2016,0.24,0,0,56,38
USC00366886,"PHILADELPHIA FRANKLIN INSTITUTE, PA US",11/30/2016,0.73,0,0,60,48
USC00366886,"PHILADELPHIA FRANKLIN INSTITUTE, PA US",12/1/2016,2.25,0,0,60,55
USC00366886,"PHILADELPHIA FRANKLIN INSTITUTE, PA US",12/2/2016,0,0,0,62,43
USC00366886,"PHILADELPHIA FRANKLIN INSTITUTE, PA US",12/3/2016,0,0,0,52,40
USC00366886,"PHILADELPHIA FRANKLIN INSTITUTE, PA US",12/4/2016,0,0,0,51,42
USC00366886,"PHILADELPHIA FRANKLIN INSTITUTE, PA US",12/5/2016,0.15,0,0,48,42
USC00366886,"PHILADELPHIA FRANKLIN INSTITUTE, PA US",12/6/2016,0,0,0,52,38
USC00366886,"PHILADELPHIA FRANKLIN INSTITUTE, PA US",12/7/2016,0.86,0,0,45,38
USC00366886,"PHILADELPHIA FRANKLIN INSTITUTE, PA US",12/8/2016,0,0,0,47,40
USC00366886,"PHILADELPHIA FRANKLIN INSTITUTE, PA US",12/9/2016,0,0,0,45,32
